                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                 1.0781,                 1.0017,                 1.1437,                0.87859,                0.95162,                0.97635,                0.62964,                 1.3425,                 1.1034,                 1.2314,             0.00077775,             0.00077775,             0.00077775
                     70,                 1.0967,                0.98371,                 1.1537,                0.88676,                0.95571,                0.97323,                0.63838,                 1.2704,                 1.0906,                  1.216,             0.00077692,             0.00077692,             0.00077692
                     71,                  1.031,                0.96581,                 1.1401,                0.88676,                0.95571,                0.97323,                0.63838,                 1.2704,                 1.0906,                  1.216,              0.0007761,              0.0007761,              0.0007761
                     72,                  1.093,                 1.0295,                 1.1957,                0.88023,                0.97526,                 0.9749,                0.68208,                 1.1649,                 1.0296,                 1.1915,             0.00077527,             0.00077527,             0.00077527
                     73,                 1.0247,                 1.0162,                 1.1582,                0.88023,                0.97526,                 0.9749,                0.68208,                 1.1649,                 1.0296,                 1.1915,             0.00077445,             0.00077445,             0.00077445
                     74,                 1.0111,                 0.9571,                 1.1688,                0.88647,                0.97992,                0.96897,                0.72186,                 1.0616,                 1.0225,                 1.1564,             0.00077362,             0.00077362,             0.00077362
                     75,                  1.066,                 0.9265,                 1.1142,                0.88647,                0.97992,                0.96897,                0.72186,                 1.0616,                 1.0225,                 1.1564,              0.0007728,              0.0007728,              0.0007728
                     76,                 1.0083,                0.95481,                 1.1176,                0.91271,                  0.978,                0.97183,                0.68627,                 1.1377,                 1.0969,                 1.1574,             0.00077197,             0.00077197,             0.00077197
                     77,                 1.0071,                0.92756,                 1.1032,                0.91271,                  0.978,                0.97183,                0.68627,                 1.1377,                 1.0969,                 1.1574,             0.00077115,             0.00077115,             0.00077115
                     78,                 1.0416,                0.89569,                  1.105,                 0.9081,                0.97456,                0.96488,                0.66356,                 1.1709,                 1.0861,                 1.1705,             0.00077033,             0.00077033,             0.00077033
                     79,                 1.0084,                  0.916,                 1.0866,                 0.9081,                0.97456,                0.96488,                0.66356,                 1.1709,                 1.0861,                 1.1705,              0.0007695,              0.0007695,              0.0007695
                     80,                 1.0009,                0.95106,                 1.0922,                0.90651,                0.97246,                 0.9632,                0.71492,                0.97773,                0.93992,                 1.1498,             0.00076868,             0.00076868,             0.00076868
                     81,                0.97791,                 0.9096,                 1.1026,                0.90651,                0.97246,                 0.9632,                0.71492,                0.97773,                0.93992,                 1.1498,             0.00076785,             0.00076785,             0.00076785
                     82,                0.94727,                0.85182,                 1.1031,                0.92004,                0.95323,                0.97576,                0.72728,                0.93616,                0.82801,                 1.1317,             0.00076703,             0.00076703,             0.00076703
                     83,                0.94948,                0.88218,                 1.0913,                0.92004,                0.95323,                0.97576,                0.72728,                0.93616,                0.82801,                 1.1317,              0.0007662,              0.0007662,              0.0007662
                     84,                0.96879,                0.95942,                 1.1155,                0.89771,                0.95935,                0.97127,                0.72728,                0.94241,                0.82072,                 1.1412,             0.00076538,             0.00076538,             0.00076538
                     85,                0.96023,                0.91574,                 1.0955,                0.89771,                0.95935,                0.97127,                0.72728,                0.94241,                0.82072,                 1.1412,             0.00076455,             0.00076455,             0.00076455
                     86,                0.93157,                0.85524,                 1.0784,                0.92591,                0.97723,                  0.965,                0.73136,                0.93463,                0.78897,                 1.1473,             0.00076373,             0.00076373,             0.00076373
